0,ID,UPLINK_MAX_THRP,ROAM_ALLOW_DIALUP,APN,SYSTEM_MODE,SIM_STATUS,SERVICE_STATUS,ROAM_STATUS,UPSTREAM_MAX_RATE,DEVICE_ID,BANDWIDTH,TAC,PROTOCOL,SIGNAL_QUALITY,SERVICE_DOMAIN,RSRP,SINR,RSSI,RSRQ,SYS_SUB_MODE,TIMESTAMP,OperatorName,PLMN,NetworkMode,ConnectedBand,DLFrequency,ULFrequency,CellID,PCI,BEST_CHANNEL,CREATED_DATE
17,1.1259E+15,187777Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004038,DL:20000 UL:20000,31901,,44,CS_PS_Capable,-97dBm,-5dB,-63dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110675221,391,,22-06-2026 13:33
18,1.1259E+15,211995Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000540,DL:20000 UL:20000,45203,,46,CS_PS_Capable,-95dBm,4dB,-66dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,108622873,314,,22-06-2026 13:33
19,1.1259E+15,188491Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202004005,DL:20000 UL:20000,41305,,48,CS_PS_Capable,-93dBm,6dB,-65dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110494998,291,,22-06-2026 13:33
20,1.1259E+15,1572Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04007144,DL:20000 UL:20000,45029,,40,CS_PS_Capable,-101dBm,-5dB,-71dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,111703574,31,,22-06-2026 13:33
21,1.1259E+15,1220495Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24829002018,DL:20000 UL:20000,45021,,58,CS_PS_Capable,-83dBm,13dB,-68dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,111592461,302,,22-06-2026 13:33
22,1.1259E+15,182973Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113004540,DL:20000 UL:20000,41926,,47,CS_PS_Capable,-94dBm,18dB,-78dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,103321366,98,,22-06-2026 13:33
23,1.1259E+15,76791Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925005557,DL:20000 UL:20000,41922,,42,CS_PS_Capable,-99dBm,9dB,-82dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,103070999,352,,22-06-2026 13:33
24,1.1259E+15,845953Byte/s,1,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28000741,DL:20000 UL:20000,41305,,64,CS_PS_Capable,-77dBm,-5dB,-42dBm,-14.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110525462,135,,22-06-2026 13:33
25,1.1259E+15,632703Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000441,DL:20000 UL:20000,45203,,46,CS_PS_Capable,-95dBm,4dB,-64dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,112033815,362,,22-06-2026 13:33
26,1.1259E+15,111324Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04004024,DL:20000 UL:20000,31300,,41,CS_PS_Capable,-100dBm,9dB,-73dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26050,26050,110677290,118,,22-06-2026 13:33
27,1.1259E+15,66428Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04003644,DL:20000 UL:20000,41322,,46,CS_PS_Capable,-95dBm,22dB,-66dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26050,26050,110854443,332,,22-06-2026 13:33
28,1.1259E+15,824432Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925005466,DL:20000 UL:20000,41301,,78,CS_PS_Capable,-63dBm,14dB,-47dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110355725,101,,22-06-2026 13:33
29,1.1259E+15,955477Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24904004558,DL:20000 UL:20000,31908,,43,CS_PS_Capable,-98dBm,4dB,-67dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26050,26050,110661929,343,,22-06-2026 13:33
30,1.1259E+15,133997Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24829001505,DL:20000 UL:20000,45021,,41,CS_PS_Capable,-100dBm,4dB,-62dBm,-17.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26600,26600,111788340,102,,22-06-2026 13:33
31,1.1259E+15,177445Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24829005978,DL:20000 UL:20000,41321,,64,CS_PS_Capable,-77dBm,5dB,-48dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110947651,274,,22-06-2026 13:33
32,1.1259E+15,431941Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113005303,DL:20000 UL:20000,31301,,61,CS_PS_Capable,-80dBm,22dB,-52dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110448661,91,,22-06-2026 13:33
33,1.1259E+15,168901Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127012027,DL:20000 UL:20000,41922,,40,CS_PS_Capable,-101dBm,0dB,-79dBm,-13.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,103044619,432,,22-06-2026 13:33
34,1.1259E+15,111153Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925001341,DL:20000 UL:20000,45025,,46,CS_PS_Capable,-95dBm,5dB,-76dBm,-11.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110178059,345,,22-06-2026 13:33
35,1.1259E+15,444567Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24829006024,DL:20000 UL:20000,35202,,44,CS_PS_Capable,-97dBm,-3dB,-76dBm,-13.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,108601673,249,,22-06-2026 13:33
36,1.1259E+15,57821Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25213002224,DL:20000 UL:20000,45213,,61,CS_PS_Capable,-80dBm,16dB,-47dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,108552972,31,,22-06-2026 13:33
37,1.1259E+15,247 KB/s,0,EGO,LTE,Valid,AvailableService,Normal,11 MB/s,00E0FC-E5783-230b-4HJ7S25908002850,DL:20000 UL:20000,31901,,41,CS_PS_Capable,-100dBm,0dB,-65dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,112601365,88,,22-06-2026 13:33
38,1.1259E+15,301733Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28003805,DL:20000 UL:20000,31908,,54,CS_PS_Capable,-87dBm,2dB,-58dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110399501,179,,22-06-2026 13:33
39,1.1259E+15,107571Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127005740,DL:20000 UL:20000,31301,,61,CS_PS_Capable,-80dBm,27dB,-53dBm,-6.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,110657332,13,,22-06-2026 13:33
40,1.1259E+15,138562Byte/s,0,EGO,WCDMA,Valid,AvailableService,Normal,14400000,00E0FC-B320-323-BPG7S24127007705,,,,66,CS_PS_Capable,,,-53dBm,,HSPA,22-06-2026 13:33,Zain Iraq,41820,WCDMA,,,,62901951,,,22-06-2026 13:33
41,1.1259E+15,93407Byte/s,0,EGO,WCDMA,Valid,AvailableService,Normal,14400000,00E0FC-B320-323-BPG7S24127013727,,,,44,CS_PS_Capable,,,-52dBm,,HSPA,22-06-2026 13:33,Zain Iraq,41820,WCDMA,,,,62857164,,,22-06-2026 13:33
42,1.1259E+15,118692Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28015724,DL:20000 UL:20000,31303,,74,CS_PS_Capable,-67dBm,9dB,-50dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110585100,214,,22-06-2026 13:33
43,1.1259E+15,47052Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204000479,DL:20000 UL:20000,31901,,53,CS_PS_Capable,-88dBm,14dB,-58dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110501653,78,,22-06-2026 13:33
44,1.1259E+15,211386Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28014962,DL:20000 UL:20000,41922,,65,CS_PS_Capable,-76dBm,4dB,-57dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,103044620,434,,22-06-2026 13:33
45,1.1259E+15,126162Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127012405,DL:20000 UL:20000,41324,,43,CS_PS_Capable,-98dBm,1dB,-64dBm,-12.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110888973,8,,22-06-2026 13:33
46,1.1259E+15,42139Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25213001262,DL:20000 UL:20000,45060,,36,CS_PS_Capable,-106dBm,6dB,-73dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,108948258,4,,22-06-2026 13:33
47,1.1259E+15,2583062Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127007950,DL:20000 UL:20000,31901,,69,CS_PS_Capable,-72dBm,23dB,-45dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1,21600,19700,110643479,474,,22-06-2026 13:33
48,1.1259E+15,1535501Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28002503,DL:20000 UL:20000,45203,,80,CS_PS_Capable,-61dBm,8dB,-44dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,108553996,242,,22-06-2026 13:33
49,1.1259E+15,85353Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25213007105,DL:20000 UL:20000,45062,,40,CS_PS_Capable,-101dBm,-4dB,-70dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26050,26050,108871723,228,,22-06-2026 13:33
50,1.1259E+15,1945322Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113006338,DL:20000 UL:20000,31300,,58,CS_PS_Capable,-83dBm,-12dB,-59dBm,-15.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,112380940,139,,22-06-2026 13:33
51,1.1259E+15,174524Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25219002432,DL:20000 UL:20000,41300,,48,CS_PS_Capable,-93dBm,11dB,-62dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26250,26250,110394676,285,,22-06-2026 13:33
52,1.1259E+15,249131Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28017550,DL:20000 UL:20000,45063,,50,CS_PS_Capable,-91dBm,0dB,-57dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,109016845,481,,22-06-2026 13:33
53,1.1259E+15,0Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24C24000085,DL:20000 UL:20000,45027,,50,CS_PS_Capable,-89dBm,3dB,-60dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41,26600,26600,112323125,22,,22-06-2026 13:33
54,1.1259E+15,224590Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28015999,DL:20000 UL:20000,31303,,64,CS_PS_Capable,-77dBm,-4dB,-56dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3,18150,17200,110362123,218,,22-06-2026 13:33
